epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5511.03,1.49045,2.1029,1.36247,0.30213,0.27549,0.21408,0.11272,2.16142,3.01238,1.77583,0.000302714,0.000302714,0.000302714
2,10530.9,1.36628,1.3159,1.25861,0.42479,0.35984,0.31345,0.17936,2.04646,2.59977,1.65548,0.000545748,0.000545748,0.000545748
3,15499.7,1.32437,1.15987,1.24186,0.64063,0.33145,0.33496,0.18816,2.10383,2.76661,1.73374,0.000728788,0.000728788,0.000728788
4,20244.8,1.266,1.05644,1.21033,0.48626,0.35037,0.31941,0.17826,2.05519,3.07574,1.7132,0.000639027,0.000639027,0.000639027
5,24680.8,1.20729,0.97438,1.18135,0.46523,0.41099,0.34088,0.20526,2.01589,3.05304,1.69101,0.000549036,0.000549036,0.000549036
6,29195.5,1.15731,0.89744,1.15148,0.52897,0.38983,0.35947,0.20975,2.02707,3.17925,1.72127,0.000459045,0.000459045,0.000459045
7,33545.8,1.12281,0.84327,1.13418,0.48568,0.40106,0.34965,0.2023,2.02405,2.94154,1.67718,0.000369054,0.000369054,0.000369054
8,37895.9,1.08365,0.79169,1.11312,0.46388,0.40112,0.348,0.20274,2.04106,3.14206,1.70179,0.000279063,0.000279063,0.000279063
9,42416.4,1.04867,0.75246,1.09885,0.50526,0.41394,0.36271,0.21653,1.98588,3.29307,1.68372,0.000189072,0.000189072,0.000189072
10,47652.2,1.01243,0.70753,1.08148,0.54195,0.42461,0.37901,0.23386,1.98936,3.18835,1.66649,9.9081e-05,9.9081e-05,9.9081e-05
