epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3392.79,0.96147,1.52271,1.08453,0.88499,0.80111,0.92241,0.69011,0.88853,1.04241,0.99793,0.000553962,0.000553962,0.000553962
2,5702.07,0.82625,0.85168,0.9831,0.91901,0.90731,0.94318,0.72873,0.80593,0.77488,0.95084,0.000999776,0.000999776,0.000999776
3,7588,0.78659,0.68832,0.96442,0.91896,0.92851,0.96865,0.79243,0.70536,0.6002,0.90387,0.00133557,0.00133557,0.00133557
4,9457.52,0.70917,0.56592,0.93329,0.95239,0.9453,0.97531,0.81071,0.66528,0.54027,0.89398,0.0011719,0.0011719,0.0011719
5,11906.3,0.63397,0.49265,0.90542,0.97949,0.97142,0.98317,0.83967,0.6029,0.44029,0.86924,0.00100687,0.00100687,0.00100687
6,14605.8,0.57888,0.43735,0.88379,0.9769,0.97288,0.98547,0.85932,0.54072,0.3926,0.8421,0.000841835,0.000841835,0.000841835
7,17127,0.53751,0.39071,0.87339,0.97892,0.98091,0.98687,0.88321,0.49485,0.35395,0.84084,0.000676802,0.000676802,0.000676802
8,19382.9,0.49177,0.35506,0.86118,0.98358,0.97922,0.98536,0.89434,0.45058,0.32336,0.82228,0.000511769,0.000511769,0.000511769
9,21956.8,0.45216,0.32078,0.84967,0.9864,0.98143,0.9902,0.90522,0.42597,0.29317,0.81545,0.000346736,0.000346736,0.000346736
10,24306.8,0.42176,0.29444,0.84064,0.98849,0.98307,0.98979,0.91483,0.3802,0.26708,0.80576,0.000181703,0.000181703,0.000181703
